image_id,ar,num_input_candidates,num_valid_candidates,num_effective_candidates,num_cheap_kept,num_expensive_eval,selected_k,decision_type,delta_improve
pond5_image_96295050,4:3,164,164,164,30,30,5,minimal_crop,0.01434875130653368
sstk_image_2168236561,1:1,89,89,89,30,30,5,crop,5.980366528091379
sstk_image_2168236561,9:16,36,36,36,30,30,5,crop,10.919368932130459
sstk_image_2168236561,16:9,138,137,137,30,30,5,crop,0.6684731016126343
sstk_image_2168236561,3:4,60,60,60,30,30,5,crop,8.252930483389974
sstk_image_2168236561,4:3,101,101,101,30,30,5,crop,2.370727053386721
sstk_image_1367533205,1:1,122,122,122,31,31,5,crop,1.590881193161437
sstk_image_1367533205,9:16,72,72,72,30,30,5,crop,4.07133430508898
sstk_image_1367533205,16:9,191,191,191,31,31,5,minimal_crop,0.0
sstk_image_1367533205,3:4,74,74,74,30,30,5,crop,4.354061695636787
sstk_image_1367533205,4:3,152,152,152,31,31,5,minimal_crop,0.0
sstk_image_2095618306,1:1,118,118,118,30,30,5,crop,1.427966063939257
sstk_image_2095618306,9:16,75,75,75,30,30,5,crop,1.3162370278434252
sstk_image_2095618306,16:9,137,137,137,30,30,5,crop,1.590022833113693
sstk_image_2095618306,3:4,73,73,73,30,30,5,minimal_crop,0.00011945366859444917
sstk_image_2095618306,4:3,151,151,151,30,30,5,minimal_crop,0.02508989198256456
sstk_image_1633037800,1:1,103,103,103,31,31,5,crop,4.048966663093072
sstk_image_1633037800,9:16,52,52,52,30,30,5,crop,12.289413008757531
sstk_image_1633037800,16:9,149,149,149,31,31,5,crop,1.7472656682131078
sstk_image_1633037800,3:4,55,55,55,30,30,5,crop,7.607965683346831
sstk_image_1633037800,4:3,132,132,132,30,30,5,minimal_crop,0.016904776441711178
sstk_image_1639785124,1:1,118,118,118,31,31,5,minimal_crop,0.01975680866811702
sstk_image_1639785124,9:16,74,74,74,31,31,5,crop,5.051074026572061
sstk_image_1639785124,16:9,159,159,159,31,31,5,minimal_crop,0.0
sstk_image_1639785124,3:4,77,77,77,31,31,5,crop,2.0711355376602985
sstk_image_1639785124,4:3,155,155,155,31,31,5,minimal_crop,0.009222817787238213
pond5_image_201540761,1:1,105,105,105,30,30,5,minimal_crop,0.01684233723907802
pond5_image_201540761,9:16,55,55,55,30,30,5,minimal_crop,0.002940786033882814
pond5_image_201540761,16:9,120,120,120,30,30,5,crop,1.0533268910244509
