image_id,target_ar,selected_k,top1_final,mean_final
bigstock_image_456907741,3:4,5,-3.268947,-7.995228
bigstock_image_456907741,4:3,5,-0.84511,-1.016102
bigstock_image_456907741,9:16,4,-9.933893,-11.179448
bigstock_image_459741757,16:9,5,-0.828246,-1.2748328
bigstock_image_459741757,1:1,5,-0.883497,-1.294381
bigstock_image_459741757,3:4,5,-0.898231,-1.3060426
bigstock_image_459741757,4:3,5,-0.845208,-1.901081
bigstock_image_459741757,9:16,5,-0.938345,-1.3414933999999998
bigstock_image_464852575,16:9,5,-2.099614,-2.484778
bigstock_image_464852575,1:1,5,-4.817023,-6.930827600000001
bigstock_image_464852575,3:4,5,-9.021328,-11.2471274
bigstock_image_464852575,4:3,5,-1.6416,-2.2136052
bigstock_image_464852575,9:16,5,-14.527287,-17.5676014
bigstock_image_465688923,16:9,5,1.070091,1.0312439999999998
bigstock_image_465688923,1:1,5,-1.026655,-3.8056466
bigstock_image_465688923,3:4,5,-3.990872,-7.654863799999999
bigstock_image_465688923,4:3,5,1.04174,-0.337918
bigstock_image_465688923,9:16,5,-7.884178,-12.7553892
bigstock_image_466578131,16:9,5,-3.547971,-7.6338642000000005
bigstock_image_466578131,1:1,5,-1.67329,-1.7237956
bigstock_image_466578131,3:4,5,-3.924821,-4.2654322
bigstock_image_466578131,4:3,5,-1.640089,-1.6567692
bigstock_image_466578131,9:16,5,-7.303635,-7.679187400000001
bigstock_image_467272199,16:9,5,-0.873514,-1.9631294000000001
bigstock_image_467272199,1:1,5,-0.921131,-3.3533192
bigstock_image_467272199,3:4,5,-1.258277,-5.640272
bigstock_image_467272199,4:3,5,-0.88804,-2.1162372
bigstock_image_467272199,9:16,5,-4.29163,-8.6890152
bigstock_image_470393651,16:9,5,-1.243251,-5.165638400000001
bigstock_image_470393651,1:1,5,-4.533512,-6.9586546
bigstock_image_470393651,3:4,5,-8.637882,-12.043995
bigstock_image_470393651,4:3,5,-1.418877,-4.4955602
bigstock_image_470393651,9:16,5,-14.063311,-17.358348
bigstock_image_470784023,16:9,1,-2.869821,-2.869821
bigstock_image_470784023,1:1,5,-1.833996,-3.5150732
bigstock_image_470784023,3:4,5,-2.102131,-3.016356
bigstock_image_470784023,4:3,5,-1.80884,-1.8170628
bigstock_image_470784023,9:16,5,-5.386265,-5.7996384
bigstock_image_471498239,16:9,5,-1.368441,-2.727606
bigstock_image_471498239,1:1,5,-0.810593,-5.025173000000001
bigstock_image_471498239,3:4,5,-3.636105,-7.987547000000001
bigstock_image_471498239,4:3,5,-0.804862,-3.0569493999999997
bigstock_image_471498239,9:16,5,-7.417585,-11.4149264
bigstock_image_48125867,16:9,5,-5.479672,-14.0766504
bigstock_image_48125867,1:1,5,-1.230072,-1.3232356
bigstock_image_48125867,3:4,5,-1.223597,-1.8898248000000002
bigstock_image_48125867,4:3,5,-1.249421,-1.254434
bigstock_image_48125867,9:16,1,-1.211411,-1.211411
bigstock_image_4940120,16:9,2,1.031871,0.07778399999999996
bigstock_image_4940120,1:1,5,-1.141181,-1.6183935999999999
bigstock_image_4940120,3:4,5,-5.790326,-11.552614
bigstock_image_4940120,4:3,5,1.180863,0.7257344
bigstock_image_4940120,9:16,5,-15.691949,-20.1928536
bigstock_image_55694432,16:9,2,-4.366397,-5.139043
bigstock_image_55694432,1:1,5,-7.257828,-9.156416799999999
bigstock_image_55694432,3:4,5,-12.370024,-16.0273564
bigstock_image_55694432,4:3,5,-0.878141,-0.8864848000000001
bigstock_image_55694432,9:16,5,-17.130873,-21.072822600000002
bigstock_image_5751897,16:9,5,-0.903652,-2.5606864000000003
bigstock_image_5751897,1:1,5,-0.923227,-5.7830753999999995
bigstock_image_5751897,3:4,5,-4.446372,-9.5229184
bigstock_image_5751897,4:3,5,-0.884977,-3.3552288000000003
bigstock_image_5751897,9:16,5,-7.656662,-11.597139799999999
bigstock_image_59312051,16:9,5,-2.524929,-2.9386662
bigstock_image_59312051,1:1,5,-5.209525,-7.0251578
bigstock_image_59312051,3:4,5,-9.501016,-12.2188756
bigstock_image_59312051,4:3,5,-1.947875,-3.5946434
bigstock_image_59312051,9:16,5,-15.163476,-19.4108278
bigstock_image_61750514,16:9,5,-0.789306,-1.9147522000000001
bigstock_image_61750514,1:1,5,-0.796834,-2.2939688
bigstock_image_61750514,3:4,5,-0.832898,-2.6568594
bigstock_image_61750514,4:3,5,-0.779151,-1.5066156000000002
bigstock_image_61750514,9:16,5,-0.897815,-1.2895632
bigstock_image_74177035,16:9,5,1.05509,-0.256731
bigstock_image_74177035,1:1,5,1.087473,-0.5312441999999999
bigstock_image_74177035,3:4,5,1.042095,-3.187522
bigstock_image_74177035,4:3,5,1.083872,0.465646
bigstock_image_74177035,9:16,5,-3.072936,-6.5872622
bigstock_image_76134065,16:9,5,-3.612618,-5.939114
bigstock_image_76134065,1:1,5,-7.656896,-11.472688
